gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
Gm37988	chr1	1874219	1987495	-0.270463	1	19.9281	0.978568	2.51039	3
Tcea1	chr1	1874219	1987495	-0.270463	1	19.9281	0.978568	2.51039	3
1700034P13Rik	chr1	6613070	6710104	-0.217568	2	21.5125	0.980131	2.84063	3
Sgk3	chr1	6632402	6917290	-0.215391	2	21.9367	0.824302	3.83455	4
Cpa6	chr1	6979118	7737752	0.217663	2	27.5947	0.986602	6.42838	7
Tfap2d	chr1	15884718	15924946	0.249134	4	22.4969	0.559801	2.78244	3
Npas2	chr1	35438951	36038986	-0.254462	1	23.4134	0.000128035	2.97658	3
Gulp1	chr1	41212227	41289345	0.437209	3	21.8378	0.727142	2.71287	3
Dnah7c	chr1	42663148	43262684	0.222766	3	25.5164	0.84223	23.8359	31
C230029F24Rik	chr1	45757476	46196152	0.277985	2	29.6064	0.980131	1.80205	3
Pms1	chr1	49744133	49939343	-0.449761	1	22.1727	0.612318	3.1181	4
Gtf3c3	chr1	50977018	51127680	0.261111	3	36.9212	0.975867	2.82397	3
Pgap1	chr1	51126691	51189282	0.230043	3	38.4474	0.893769	2.83663	3
Plcl1	chr1	51968515	52664536	0.215659	2	35.2138	0.832525	3.72141	4
Gm18802	chr1	55197757	55319427	0.235428	3	26.8522	0.993915	12.4177	14
Gm28803	chr1	55316623	55319427	0.463938	3	29.1123	0.937759	2.46515	3
Wdr12	chr1	56710482	56965891	0.340257	3	32.2289	0.93338	2.39951	3
Erbb4	chr1	64620192	66067614	0.207136	2	22.6817	0.895352	11.6389	12
Ikzf2	chr1	65609444	66382438	0.284447	2	24.9115	0.962221	2.90423	3
Acsl3	chr1	75095841	75214176	0.342968	2	30.5567	0.896064	3.72178	4
Utp14b	chr1	75095841	75212452	0.318363	2	28.2367	0.896064	2.91758	3
Col4a3	chr1	78915610	79275387	-0.240327	2	20.1773	0.637762	3.77621	4
Trip12	chr1	81024417	81292747	-0.276564	2	19.5112	0.5582	2.81961	3
Ugt1a5	chr1	84648639	84673018	0.225173	4	33.6349	0.955427	2.11654	3
