gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
0	chr1	131326737	189759038	0.254824	2	37.1482	0.864946	2.98929	3
Zhx3	chr2	156557585	157757907	0.298152	3	45.3373	1.42616e-05	2.98833	3
Ptprt	chr2	157227074	159155553	0.257056	3	43.7016	0.0173413	2.98786	3
Kirrel	chr3	81963445	82174801	0.47484	3	30.2991	4.36804e-08	2.9675	3
Ptprd	chr4	73445914	91058349	-0.513687	1	14.155	0.468367	2.83222	3
0	chr7	16344672	46095789	0.273574	3	32.3494	0.468367	6.96043	7
Aopep	chr13	59599340	60091686	0.232779	3	23.0826	0.799083	2.98359	3
0	chr16	18793262	93514038	-0.246576	2	14.552	0.218174	10.4798	11
C2cd2	chr16	93514048	93772560	-1.05827	0	5.70397	2.82114e-39	2.79099	3
Scaf8	chr17	26327	540659	0.443202	3	28.2219	4.81164e-05	3.97047	4
Gm20455	chrX	68035511	73231652	-0.481777	0	15.2471	0.241985	2.21001	3
Rtl4	chrX	140188835	144281744	-0.298877	1	14.5094	0.98605	2.81515	3
