gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
1700034P13Rik	chr1	6613070	6710104	-0.217568	2	21.5125	0.980131	2.84063	3
Sgk3	chr1	6632402	6917290	-0.219604	2	21.6393	0.824302	2.84389	3
Cpa6	chr1	7282444	7737752	0.270123	3	28.175	0.91178	5.43449	6
Gm7560	chr1	8865247	8933147	-0.339504	2	22.9973	0.982765	2.95656	3
Gm6216	chr1	9412328	9800338	-0.572607	2	24.1092	0.402222	2.93341	3
Gm29663	chr1	9412328	9800338	-0.572607	2	24.1092	0.402222	2.93341	3
Sulf1	chr1	9412328	9800338	-0.572607	2	24.1092	0.402222	2.93341	3
Slco5a1	chr1	9412328	9800338	-0.572607	2	24.1092	0.402222	2.93341	3
Gm37162	chr1	9800348	9911063	-0.68734	1	23.4538	0.626005	2.91991	3
Gm5250	chr1	9800348	9911063	-0.68734	1	23.4538	0.626005	2.91991	3
Gm29283	chr1	9800348	9911063	-0.68734	1	23.4538	0.626005	2.91991	3
Prdm14	chr1	9800348	9911063	-0.68734	1	23.4538	0.626005	2.91991	3
Gm9947	chr1	11436633	11560265	0.273814	2	37.2261	0.531922	2.89898	3
Msc	chr1	11436633	11560265	0.273814	2	37.2261	0.531922	2.89898	3
Gm37412	chr1	11436633	11560265	0.273814	2	37.2261	0.531922	2.89898	3
Adgrb3	chr1	21554957	22463508	-0.200563	2	19.7386	0.535458	6.84221	7
Dst	chr1	30718791	31006298	-0.241848	2	22.191	0.934224	2.88356	3
Gulp1	chr1	41212227	41289345	0.437209	3	21.8378	0.727142	2.71287	3
Pms1	chr1	49744133	49909163	-0.510492	1	22.4276	0.612318	3.27328	4
Gtf3c3	chr1	50977018	51127680	0.329244	3	40.46	0.975867	3.78167	4
Gm18802	chr1	55197757	55319427	0.238223	3	26.7827	0.993915	11.4424	13
Gm28803	chr1	55316623	55319427	0.463938	3	29.1123	0.937759	2.46515	3
Wdr12	chr1	56710482	56965891	0.340257	3	32.2289	0.93338	2.39951	3
Erbb4	chr1	64620192	66068244	0.295069	2	23.0653	0.895352	11.5536	12
Ikzf2	chr1	66067651	66382438	0.556612	5	26.1679	0.0763837	2.83905	3
Acsl3	chr1	75095841	75214176	0.342968	2	30.5567	0.896064	3.72178	4
Utp14b	chr1	75095841	75212452	0.318363	2	28.2367	0.896064	2.91758	3
Col4a3	chr1	78915610	79275387	-0.262895	2	19.3353	0.637762	2.78007	3
Trip12	chr1	81024417	81292747	-0.276564	2	19.5112	0.5582	2.81961	3
Ugt1a5	chr1	84648639	84673018	0.225173	4	33.6349	0.955427	2.11654	3
Ugt1a2	chr1	84648639	84673018	0.225173	4	33.6349	0.955427	2.11654	3
Gal3st2b	chr1	90341469	90519184	-0.291549	1	17.9058	0.899728	9.95488	11
Gal3st2	chr1	90393295	90651430	-0.311641	1	18.0039	0.885812	7.41707	8
Gm18666	chr1	90517861	90535133	-0.372599	1	16.5311	0.782999	3.61119	4
Gm7133	chr1	93647979	93934905	-0.239118	2	17.5176	0.999658	3.8847	4
Cntnap5b	chr1	96207979	97007588	-0.245166	1	18.884	0.25295	9.81042	10
Gm53054	chr1	98868658	99173669	-0.211114	2	19.1194	0.320495	2.97791	3
Cdh20	chr1	101313521	101584904	-0.202385	1	20.2898	0.993646	2.87607	3
Rnf152	chr1	101627180	101820660	-0.207758	2	21.5696	0.473929	2.96357	3
Serpinb3a	chr1	103439334	103727018	0.266041	3	26.4958	0.95247	6.89401	8
Cdh19	chr1	107083772	107257131	0.307815	3	19.8694	0.684984	2.90068	3
9330185C12Rik	chr1	110104124	110258810	-0.237817	2	20.129	0.693792	2.96788	3
Cntnap5a	chr1	111770140	112812144	-0.283021	2	18.4331	0.970044	7.72612	8
MGP_FVBNJ_G0004900	chr1	120518949	121037337	-0.232052	1	19.7993	0.391059	6.91445	7
Mgat5	chr1	123018829	123797787	-0.210572	2	23.0918	0.295589	2.98214	3
Cd55b	chr1	126478538	126579147	0.293006	3	33.7241	0.957412	2.96246	4
Cd55	chr1	126478538	126579147	0.293006	3	33.7241	0.957412	2.96246	4
Cntn2	chr1	128187310	129046031	-0.235511	2	23.6033	0.191337	2.98659	3
Zc3h11a	chr1	129713506	130046350	0.4669	4	36.4535	0.756574	2.95585	4
MGP_FVBNJ_G0016337	chr1	129713506	130046350	0.4669	4	36.4535	0.756574	2.95585	4
Platr22	chr1	132742545	132924686	-0.212125	2	21.4683	0.305022	2.94996	3
Gm5834	chr1	136088168	136250079	0.589562	4	23.7271	0.950103	3.36622	4
Lamc2	chr1	148922133	149235206	0.2551	2	33.4728	0.980987	2.08867	3
Lamc1	chr1	149234317	149337887	0.311603	3	30.5849	0.99317	2.34674	3
Lhx4	chr1	151471352	152007413	-0.315199	2	18.6412	0.980131	2.27642	3
Fam163a	chr1	152006506	152232534	-0.234138	1	21.2115	0.892896	2.88679	3
Soat1	chr1	152326041	153068277	-0.289137	1	20.4309	0.906718	2.67153	3
Brinp2	chr1	154009881	154573481	-0.201669	2	20.9335	0.455393	2.98196	3
Astn1	chr1	154208505	154727577	-0.209281	2	20.434	0.0975501	2.97404	3
Lmx1a	chr1	163369934	163815965	-0.216491	1	21.4977	0.2102	2.96424	3
Fcgr3	chr1	166682002	167123973	-0.28894	2	21.107	0.79089	2.46824	3
Crp	chr1	168097193	168603913	-0.293024	2	19.1884	0.12608	2.79751	3
Gm18445	chr1	169577443	169778409	-0.335107	2	15.518	0.76088	9.12205	11
Ifi203	chr1	169694004	169724360	-0.355852	1	14.9017	0.994076	2.27714	3
Ifi211	chr1	169777774	169862984	-0.280624	1	16.9863	0.950103	2.76362	3
Ifi205	chr1	169777774	169862984	-0.280624	1	16.9863	0.950103	2.76362	3
Rgs7	chr1	171029433	171625602	-0.224588	1	18.9199	0.979881	2.85025	3
Akt3	chr1	172595276	173178511	0.250294	2	23.0621	0.604146	2.84786	3
Adss	chr1	173414979	173534247	-0.225804	2	20.439	0.559918	3.80975	4
Gm16585	chr1	173414979	173534247	-0.225804	2	20.439	0.559918	3.80975	4
Kif26b	chr1	174159138	175329165	-0.226669	2	20.9918	0.455814	2.89656	3
Tfb2m	chr1	175328474	175455117	-0.203135	1	20.8798	0.924333	2.87503	3
Gm1818	chr1	175328474	175455117	-0.203135	1	20.8798	0.924333	2.87503	3
Cdc123	chr2	2706221	3765557	0.352885	2	40.5025	0.992888	2.48806	3
Celf2	chr2	3765079	4970820	0.365719	3	38.1372	0.956873	3.51121	4
Pfkfb3	chr2	8283808	8555649	-0.218924	2	29.0049	0.67902	3.79205	4
Etl4	chr2	17123629	17882623	0.399491	3	34.6178	0.967822	2.77786	3
Ddx31	chr2	25556772	25752937	-0.204851	2	31.8859	0.987172	2.91897	3
Fibcd1	chr2	28286779	28820382	-0.267388	2	30.1463	0.200473	2.65002	3
Nup214	chr2	28820151	28823176	-0.434684	1	24.3873	0.954621	1.91117	3
Fam78a	chr2	28820151	29036969	-0.235858	1	33.9049	0.954621	3.26429	5
Gm16534	chr2	28820151	29036969	-0.235858	1	33.9049	0.954621	3.26429	5
2600014E21Rik	chr2	71139997	72187429	0.260529	2	29.3643	0.992967	2.75942	3
Nckap1	chr2	76850269	77074974	-0.262531	1	11.9496	0.889287	2.89488	3
Itgav	chr2	79942763	80333426	-0.266184	1	13.7047	0.22183	3.93006	4
Gm28635	chr2	80834695	81198741	-0.620627	1	17.0535	0.824677	2.6722	3
Btbd18	chr2	80834695	81198741	-0.620627	1	17.0535	0.824677	2.6722	3
P2rx3	chr2	81088848	81346189	-0.212071	2	23.0704	0.4462	2.97317	3
Slc39a13	chr2	87266357	87458115	-0.213915	2	22.1789	0.954154	2.88609	3
Api5	chr2	90558886	90865571	-0.255661	2	20.7955	0.650959	2.90277	3
Trim44	chr2	98372865	99059834	0.285977	3	31.3212	6.43847e-06	2.98225	3
4931422A03Rik	chr2	100117427	100283262	-0.242318	1	21.2722	0.253645	2.95117	3
Fbxo3	chr2	100117427	100283262	-0.242318	1	21.2722	0.253645	2.95117	3
Mettl15	chr2	105261613	105469493	0.317394	3	24.7499	0.941033	2.58074	3
